label,alt_text
totalbio,"Total biomass in metric tons by area is relatively unfished between the start of the model through 1950 with the biomass sharply decreasing to low levels by the mid 1990s remaining low, increasing in the early 2000s and to the end of the time series. The two areas generally follow the same trend, with Area 1 (California) consistently having a much lower biomass compared to Area 2 (Oregon and Washington)."
summbio,"Summary biomass in metric tons by area is relatively unfished between the start of the model through 1950 with the biomass sharply decreasing to low levels by the mid 1990s remaining low, increasing in the early 2000s and to the end of the time series. The two areas generally follow the same trend, with Area 1 (California) consistently having a much lower summary biomass compared to Area 2 (Oregon and Washington)."
tsrecuits,"Figure shows the total Age-0 recruites for the current base model. Recruitment generally peaked in the 1950s, 1970s, 1980s, and 2010s."
bridge25-comp4,"Figure comparing the fraction of unfished biomass trajectories for the 2017 and current base models. There is little to no difference between the two time series, and the time series from the current model seems to continue on the same general path that 2017 ended."
bridge25-comp12,"Figure compares the recriutment deviations between the 2017 assessment model and current base model. Recruitment generally peaked in the 1950s, 1970s, 1980s, and 2010s. The recent period (2010-2024) showed higher recriutment in the current model compared to the 2017 model."
full-jitter,"A jitter point plot showing the change in negative log-likelihood of 100 iterations. The majority of iterations fell in line with the base model likelihood (green dots), some (the blue dots) had higher likelihood, but none had a lower likelihood."
sens_model_spout,"Figure comparing spawning output between sensitivity models and the base model when estimating natural mortality, steepness, and using the 2017 length-weight relationship. There is a significant increase in spawning output when the model estimates either natural mortality or steepness."
sens_model_status,"Figure comparing fraction of unfished biomass between sensitivity models and the base model when estimating natural mortality, steepness, and using the 2017 length-weight relationship. There is a significant increase in stock status when the model estimates either natural mortality or steepness."
sens_lengths1_spout,"Figure comparing spawning output between sensitivity models and the base model, and showing few changes as length data are excluded."
sens_lengths2_spout,"Figure comparing spawnig output between sensitivity models and the base model, and showing no changes as length data are excluded. Except, when removing all length data, the spawning output nearly doubles."
sens_lengths1_status,"Figure comparing fraction of unfished biomass between sensitivity models and the base model, and showing no changes as length data are excluded."
sens_lengths2_status,"Figure comparing fraction of unfished biomass between sensitivity models and the base model, and showing no changes as length data are excluded. Except, when removing all length data, the status greatly increases."
sens_age1_spout,"Figure comparing spawning output between sensitivity models and the base model, and showing few changes as more age data are excluded."
sens_age2_spout,"Figure comparing spawning output between sensitivity models and the base model, and showing few changes as more age data are excluded. Removing the IPHC age data slightly reduced spawning output, whereas using the McAllister and Ianelli weighting increased the spawning output."
sens_age1_status,"Figure comparing fraction of unfished biomass between sensitivity models and the base model, and showing few changes as more age data are excluded."
sens_age2_status,"Figure comparing fraction of unfished biomass between sensitivity models and the base model, and showing few changes as more age data are excluded. Removing the IPHC age data slightly reduced overall fraction unfished, whereas using the McAllister and Ianelli weighting increased the fraction of unfished biomass."
sens_indices_spout,"Figure comparing spawning output between sensitivity models and the base model, and showing relatively little changes when removing indices with the exception of excluding all indices and the IPHC index."
sens_indices_status,"Figure comparing fraction of unfished biomass between sensitivity models and the base model, and showing relatively little changes when removing indices with the exception of excluding all indices and the IPHC index."
sens_sum,A summary of the relative changes in management quantities from all sensitivity models with relative change on the x-axis and each data source removed on the y-axis. Plot highlights that the model is most sensitive to removing all length composition data.
sens_sum_no_lengths,"A summary of the relative changes in management quantities from all sensitivity models, except the removal of all length compostion data with relative change on the x-axis and each data source removed on the y-axis. Plot highlights that besides removing all length composition data, the model is most sensitive to estimating steepness and natural mortality."
retro-sp-output,Plot of spawning output with uncertainty intervals over time. As years of data are removed there is no change to overall spawning output.
retro-rel-biomass,Plot of relative biomass with uncertainty intervals over time. As years of data are removed there is no change to overall fraction of unfished biomass.
retro-recruit-dev,Plot of recruitment deviations with uncertainty intervals over time. As years of data are removed there is little change to overall recuritment deviations.
status_assmnts,Time series line plot with years on the x-axis and relative depletion on the y-axis.  Each line shows the change in the base model from the 2001 assessment to the current assessment. Overtime models have remained relatively consistent
natm-piner,"Four panel plot with natural mortality values on the x-axis and change in log-likelihood on the y-axis with panels showing the contribution from each data type in the model. The recruitment, recreational length data, and survey indices are the primarily source of information informing the estimate of natural mortality. There is little information about natural mortality from the age data."
natm-bratio,Time series line plot with year on the x-axis and fraction unfished on the y-axis. The lines represent multiple model runs that assume a range of natural mortality values from 0.030 to 0.060. Any model with a natural mortality less than 0.044 has the fraction of unfished biomass fall below the management target of 0.40.
steep-piner,"Four panel plot with steepness values on the x-axis and change in log-likelihood on the y-axis with panels showing the contribution from each data type in the model. The recruitment and length data are the primarily sources of information informing the estimate of steepness. There is some information about steepness from the survey indices, but little from the age data."
steep-bratio,Time series line plot with year on the x-axis and fraction unfished on the y-axis. The lines represent  multiple model runs that assume a range of steepness values from 0.25 to  1.00. Any model with a steepness less than 0.7 has the fraction of unfished biomass fall below the management target of 0.40.
rzero-piner,Four panel plot with ln(R0) on the x-axis and change in log-likelihood on the y-axis with panels showing the contribution from each data type in the model. The recruitment data is the primarily source of information informing the estimate of log(R0) with index data  supporting higher log(R0). There is little information about log(R0) from the length and age compostion data.
rzero-sp-output,"Time series line plot with year on the x-axis and spawning output on the y-axis. The lines represent  multiple model runs that assume a range of ln(R0) values from 5.0 to 6.0. The lines are stacked with ln(R0) values of 6.0 with the highest spawning output, and ln(R0) of 5.0 with the lowest spawning output."
rzero-parm,"Four panel plot with ln(R0) on the x-axis and values on the y-axis as described in the caption. The likelihood figure reflects a bowl, with the minimum at the estimate of ln(R0). In the other panels, as ln(R0) increases, the spawning output relative to unfished, initial spawning output, and final spawning output all increase as well."
time-spr,"Time series plot showing fishing intensity above the SPR target of 50 percent in many years from 1900 to 1975, then a steep drop below SPR 50% until 2002, and again rises above 50% from 2002 to 2024."
eq-yield,"Yield curve shows equilibrium yield as a domed function of fraction of unfished spawning output, with a peak slightly below 0.3, a maximum sustainable yield around 120t, and a biomass target at 0.4."
