Year,State,Data Type,Fleet,GearGroup,Catches (mtons),Data source,Provided by,New_Data_2025,Diff
1958,WA,Comm,Shoreside,TWL,0.282475779,WDFW,Theresa Tsou,0.282173142,0.00
1959,WA,Comm,Shoreside,TWL,0.290306001,WDFW,Theresa Tsou,0.287694944,0.00
1960,WA,Comm,Shoreside,TWL,0.3166709,WDFW,Theresa Tsou,0.315661295,0.00
1961,WA,Comm,Shoreside,TWL,0.335216644,WDFW,Theresa Tsou,0.32798607,0.01
1962,WA,Comm,Shoreside,TWL,0.201195268,WDFW,Theresa Tsou,0.201156032,0.00
1963,WA,Comm,Shoreside,TWL,0.155940711,WDFW,Theresa Tsou,0.155356167,0.00
1964,WA,Comm,Shoreside,TWL,0.145296041,WDFW,Theresa Tsou,0.145250682,0.00
1965,WA,Comm,Shoreside,TWL,0.133657052,WDFW,Theresa Tsou,0.133309918,0.00
1966,WA,Comm,Shoreside,TWL,0,WDFW,Theresa Tsou,,0.00
1967,WA,Comm,Shoreside,TWL,0,WDFW,Theresa Tsou,,0.00
1968,WA,Comm,Shoreside,TWL,0,WDFW,Theresa Tsou,,0.00
1969,WA,Comm,Shoreside,TWL,0,WDFW,Theresa Tsou,,0.00
1970,WA,Comm,Shoreside,TWL,0,WDFW,Theresa Tsou,,0.00
1971,WA,Comm,Shoreside,TWL,0.019315762,WDFW,Theresa Tsou,0.019315762,0.00
1972,WA,Comm,Shoreside,TWL,0.387614233,WDFW,Theresa Tsou,0.387614233,0.00
1975,WA,Comm,Shoreside,TWL,1.153735508,WDFW,Theresa Tsou,1.152154831,0.00
1976,WA,Comm,Shoreside,TWL,1.022724152,WDFW,Theresa Tsou,1.022724152,0.00
1977,WA,Comm,Shoreside,TWL,0,WDFW,Theresa Tsou,,0.00
1978,WA,Comm,Shoreside,TWL,0,WDFW,Theresa Tsou,,0.00
1979,WA,Comm,Shoreside,TWL,5.213322231,WDFW,Theresa Tsou,5.213306988,0.00
1980,WA,Comm,Shoreside,TWL,23.60585929,WDFW,Theresa Tsou,23.23178615,0.37
1981,WA,Comm,Shoreside,TWL,2.937764453,WDFW,Theresa Tsou,2.938074256,0.00
1982,WA,Comm,Shoreside,TWL,4.553280494,WDFW,Theresa Tsou,4.573964244,-0.02
1983,WA,Comm,Shoreside,TWL,6.602184978,WDFW,Theresa Tsou,6.60218498,0.00
1984,WA,Comm,Shoreside,TWL,3.137984411,WDFW,Theresa Tsou,3.181997032,-0.04
1985,WA,Comm,Shoreside,TWL,11.17408547,WDFW,Theresa Tsou,11.36481452,-0.19
1986,WA,Comm,Shoreside,TWL,3.002517411,WDFW,Theresa Tsou,3.002563529,0.00
1987,WA,Comm,Shoreside,TWL,6.336979729,WDFW,Theresa Tsou,6.336979731,0.00
1988,WA,Comm,Shoreside,TWL,19.79777856,WDFW,Theresa Tsou,19.79810505,0.00
1989,WA,Comm,Shoreside,TWL,29.73814431,WDFW,Theresa Tsou,29.73930365,0.00
1990,WA,Comm,Shoreside,TWL,19.89199099,WDFW,Theresa Tsou,19.89199099,0.00
1991,WA,Comm,Shoreside,TWL,16.49221024,WDFW,Theresa Tsou,16.49244847,0.00
1992,WA,Comm,Shoreside,TWL,26.93609999,WDFW,Theresa Tsou,26.93609999,0.00
1993,WA,Comm,Shoreside,TWL,18.41898544,WDFW,Theresa Tsou,18.41898544,0.00
1994,WA,Comm,Shoreside,TWL,7.224694775,WDFW,Theresa Tsou,7.224701851,0.00
1995,WA,Comm,Shoreside,TWL,8.317059419,WDFW,Theresa Tsou,8.317059419,0.00
1996,WA,Comm,Shoreside,TWL,12.64380328,WDFW,Theresa Tsou,12.64416624,0.00
1997,WA,Comm,Shoreside,TWL,6.990013591,WDFW,Theresa Tsou,6.990013592,0.00
1998,WA,Comm,Shoreside,TWL,5.240913683,WDFW,Theresa Tsou,5.240913683,0.00
1999,WA,Comm,Shoreside,TWL,11.79423081,WDFW,Theresa Tsou,11.79423081,0.00
2000,WA,Comm,Shoreside,TWL,0.266837197,WDFW,Theresa Tsou,0.266837197,0.00
2001,WA,Comm,Shoreside,TWL,0.994128197,WDFW,Theresa Tsou,0.994128197,0.00
2002,WA,Comm,Shoreside,TWL,0.414729145,WDFW,Theresa Tsou,0.414729145,0.00
2003,WA,Comm,Shoreside,TWL,0.220445712,WDFW,Theresa Tsou,0.220445712,0.00
2004,WA,Comm,Shoreside,TWL,0.183617398,WDFW,Theresa Tsou,0.183617398,0.00
2005,WA,Comm,Shoreside,TWL,0.10886208,WDFW,Theresa Tsou,0.10886208,0.00
2006,WA,Comm,Shoreside,TWL,0.260635505,WDFW,Theresa Tsou,0.260635505,0.00
2007,WA,Comm,Shoreside,TWL,0.011793392,WDFW,Theresa Tsou,0.011793392,0.00
2008,WA,Comm,Shoreside,TWL,0.004082328,WDFW,Theresa Tsou,0.004082328,0.00
2009,WA,Comm,Shoreside,TWL,0.005896696,WDFW,Theresa Tsou,0.005896696,0.00
2010,WA,Comm,Shoreside,TWL,0.00907184,WDFW,Theresa Tsou,0.00907184,0.00
2011,WA,Comm,Shoreside,TWL,0.034926584,WDFW,Theresa Tsou,0.034926584,0.00
2012,WA,Comm,Shoreside,TWL,0.034926584,WDFW,Theresa Tsou,0.034926584,0.00
2013,WA,Comm,Shoreside,TWL,0.025401152,WDFW,Theresa Tsou,0.025401152,0.00
2014,WA,Comm,Shoreside,TWL,0.00680388,WDFW,Theresa Tsou,0.00680388,0.00
2015,WA,Comm,Shoreside,TWL,0.001360776,WDFW,Theresa Tsou,0.001360776,0.00
2016,WA,Comm,Shoreside,TWL,0.025401152,WDFW,Theresa Tsou,0.025401152,0.00
