STLKEY,sample_code,fish_number,species_name,sample_month,sample_day,sample_year,project_code,data_type_code,fish_length,length_type_name,weight_gm,sex_name,maturity,tag_number,ovaries_number,best_age,age_1,age_2,age_3,age_readability_code
20190195,410129-C-19043,33,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2358.68,Male,7,NA,NA,28,28,NA,NA,2
20190195,410129-C-19043,34,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,61,NA,4762.72,Male,7,NA,NA,67,67,NA,NA,2
20190195,410129-C-19043,35,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2676.19,Male,7,NA,NA,26,26,30,NA,3
20190195,410129-C-19043,36,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,53,NA,3175.15,Male,7,NA,NA,34,34,NA,NA,3
20190195,410129-C-19043,37,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,49,NA,2449.4,Male,7,NA,NA,25,25,NA,NA,2
20190195,410129-C-19043,38,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,55,NA,3311.22,Male,7,NA,NA,47,47,NA,NA,2
20190195,410129-C-19043,39,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,53,NA,3674.1,Female,3,NA,NA,53,47,53,NA,3
20190195,410129-C-19043,4,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,55,NA,3764.82,Male,7,NA,NA,44,44,NA,NA,2
20190195,410129-C-19043,40,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,49,NA,2131.88,Male,7,NA,NA,20,20,NA,NA,2
20190195,410129-C-19043,41,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,54,NA,3583.38,Female,7,NA,NA,49,49,NA,NA,2
20190194,410129-C-19043,42,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,52,NA,2812.27,Male,7,NA,NA,32,32,NA,NA,2
20190194,410129-C-19043,43,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,45,NA,1859.73,Male,2,NA,NA,21,21,NA,NA,2
20190194,410129-C-19043,44,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,52,NA,2857.63,Female,7,NA,NA,39,39,NA,NA,2
20190194,410129-C-19043,45,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,55,NA,3220.51,Male,7,NA,NA,37,37,NA,NA,2
20190195,410129-C-19043,46,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,53,NA,3175.15,Female,7,NA,NA,37,37,NA,NA,2
20190195,410129-C-19043,47,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,53,NA,3084.43,Male,7,NA,NA,28,28,NA,NA,2
