sample_code,fish_number,species_name,sample_month,sample_day,sample_year,project_code,data_type_code,fish_length_cm,length_type_name,weight_gm,sex_name,maturity,tag_number,ovaries_number,dna_number,best_age,age_1,age_2,age_3,age_readability_code,
410129-R-02002,12,Yelloweye Rockfish,7,5,2002,IPHC,R,53,Fork length,2480,Male,1,1014,NA,NA,18,18,18,18,2,
410129-R-02002,8,Yelloweye Rockfish,7,5,2002,IPHC,R,68,Fork length,6375,Male,1,1022,NA,NA,61,68,67,61,2,
410129-R-02002,9,Yelloweye Rockfish,7,5,2002,IPHC,R,62,Fork length,4430,Female,1,1019,NA,NA,49,54,53,49,2,
410129-R-02002,4,Yelloweye Rockfish,7,5,2002,IPHC,R,60,Fork length,4200,Female,1,1021,NA,NA,53,54,57,53,2,
410129-R-02003,1,Yelloweye Rockfish,7,21,2002,IPHC,R,56,Fork length,3870,Female,1,1061,11,NA,73,73,78,73,2,
410129-R-02003,2,Yelloweye Rockfish,7,21,2002,IPHC,R,52,Fork length,2640,Male,1,1055,NA,NA,21,22,21,21,2,
410129-R-02003,3,Yelloweye Rockfish,7,21,2002,IPHC,R,51,Fork length,2520,Male,1,1056,NA,NA,30,30,31,30,2,
410129-R-02003,4,Yelloweye Rockfish,7,21,2002,IPHC,R,47,Fork length,1890,Female,1,1063,12,NA,28,29,27,28,2,
410129-R-02003,5,Yelloweye Rockfish,7,21,2002,IPHC,R,48,Fork length,2080,Male,1,1060,NA,NA,19,22,19,19,2,
410129-R-02003,6,Yelloweye Rockfish,7,21,2002,IPHC,R,49,Fork length,2205,Male,1,1057,NA,NA,31,31,31,31,2,
410129-R-02003,7,Yelloweye Rockfish,7,21,2002,IPHC,R,55,Fork length,3355,Male,1,1065,NA,NA,53,55,58,53,2,
410129-R-02003,8,Yelloweye Rockfish,7,21,2002,IPHC,R,50,Fork length,2295,Female,1,1058,13,NA,32,33,32,32,2,
410129-R-02003,9,Yelloweye Rockfish,7,21,2002,IPHC,R,60,Fork length,3940,Male,1,1064,NA,NA,54,52,58,54,2,
410129-R-02003,10,Yelloweye Rockfish,7,21,2002,IPHC,R,46,Fork length,1920,Male,1,1059,NA,NA,23,24,23,23,2,
410129-R-02003,11,Yelloweye Rockfish,7,21,2002,IPHC,R,41,Fork length,1380,Male,0,1062,NA,NA,17,20,17,NA,2,
410129-R-02004,1,Yelloweye Rockfish,7,28,2002,IPHC,R,46,Fork length,1950,Female,1,1131,14,NA,25,27,25,25,2,
410129-R-02004,2,Yelloweye Rockfish,7,28,2002,IPHC,R,57,Fork length,3575,Male,1,1140,NA,NA,NA,50,35,31,2,
410129-R-02004,3,Yelloweye Rockfish,7,28,2002,IPHC,R,48,Fork length,2200,Male,1,1068,NA,NA,NA,20,16,17,2,
410129-R-02004,4,Yelloweye Rockfish,7,28,2002,IPHC,R,48,Fork length,1940,Male,1,1080,NA,NA,NA,27,17,20,2,
410129-R-02004,5,Yelloweye Rockfish,7,28,2002,IPHC,R,58,Fork length,3905,Male,1,1124,NA,NA,NA,51,44,41,2,
410129-R-02004,6,Yelloweye Rockfish,7,28,2002,IPHC,R,46,Fork length,1705,Male,0,1099,NA,NA,19,19,17,19,2,
410129-R-02004,7,Yelloweye Rockfish,7,28,2002,IPHC,R,45,Fork length,1680,Male,1,1122,NA,NA,20,21,19,20,2,
410129-R-02004,8,Yelloweye Rockfish,7,28,2002,IPHC,R,46,Fork length,2040,Male,1,1134,NA,NA,19,22,19,19,2,
410129-R-02004,9,Yelloweye Rockfish,7,28,2002,IPHC,R,59,Fork length,4160,Male,1,1136,NA,NA,NA,56,57,50,3,
410129-R-02004,10,Yelloweye Rockfish,7,28,2002,IPHC,R,45,Fork length,1770,Male,1,1121,NA,NA,NA,23,15,NA,2,
410129-R-02004,11,Yelloweye Rockfish,7,28,2002,IPHC,R,56,Fork length,3680,Female,1,1117,15,NA,50,54,48,50,3,
410129-R-02004,12,Yelloweye Rockfish,7,28,2002,IPHC,R,45,Fork length,1675,Male,1,1093,NA,NA,16,19,16,16,2,
410129-R-02004,13,Yelloweye Rockfish,7,28,2002,IPHC,R,49,Fork length,2380,Male,1,1125,NA,NA,23,25,22,NA,2,
410129-R-02004,14,Yelloweye Rockfish,7,28,2002,IPHC,R,55,Fork length,2875,Female,1,1137,16,NA,NA,39,31,37,2,
410129-R-02004,15,Yelloweye Rockfish,7,28,2002,IPHC,R,52,Fork length,2485,Male,1,1123,NA,NA,27,30,27,26,2,
410129-R-02004,16,Yelloweye Rockfish,7,28,2002,IPHC,R,50,Fork length,2410,Female,1,1110,17,NA,28,28,26,28,2,
410129-R-02004,17,Yelloweye Rockfish,7,28,2002,IPHC,R,58,Fork length,3770,Male,1,1067,NA,NA,NA,22,30,28,2,
410129-R-02004,18,Yelloweye Rockfish,7,28,2002,IPHC,R,57,Fork length,4315,Male,1,1091,NA,NA,55,58,55,53,2,
410129-R-02004,19,Yelloweye Rockfish,7,28,2002,IPHC,R,43,Fork length,1595,Male,1,1069,NA,NA,18,23,18,18,2,
410129-R-02004,20,Yelloweye Rockfish,7,28,2002,IPHC,R,48,Fork length,2265,Male,1,1128,NA,NA,19,21,19,19,2,
410129-R-02004,21,Yelloweye Rockfish,7,28,2002,IPHC,R,49,Fork length,2295,Female,1,1066,18,NA,23,26,23,22,3,
410129-R-02004,22,Yelloweye Rockfish,7,28,2002,IPHC,R,51,Fork length,2525,Male,1,1109,NA,NA,NA,28,24,31,2,
410129-R-02004,23,Yelloweye Rockfish,7,28,2002,IPHC,R,58,Fork length,3670,Female,1,1115,19,NA,113,113,95,NA,2,
410129-R-02004,24,Yelloweye Rockfish,7,28,2002,IPHC,R,46,Fork length,1880,Female,1,1114,20,NA,NA,32,18,21,2,
410129-R-02004,25,Yelloweye Rockfish,7,28,2002,IPHC,R,46,Fork length,2080,Male,1,1084,NA,NA,NA,23,16,19,2,
410129-R-02004,26,Yelloweye Rockfish,7,28,2002,IPHC,R,50,Fork length,2590,Male,1,1107,NA,NA,NA,27,23,27,2,
410129-R-02004,27,Yelloweye Rockfish,7,28,2002,IPHC,R,54,Fork length,3110,Male,1,1112,NA,NA,NA,36,25,29,2,
410129-R-02004,28,Yelloweye Rockfish,7,28,2002,IPHC,R,58,Fork length,3980,Female,1,1135,21,NA,57,57,57,55,2,
410129-R-02004,29,Yelloweye Rockfish,7,28,2002,IPHC,R,42,Fork length,1645,Male,1,1108,NA,NA,17,20,17,17,2,
410129-R-02004,30,Yelloweye Rockfish,7,28,2002,IPHC,R,50,Fork length,2115,Female,1,1077,22,NA,NA,35,35,28,2,
410129-R-02004,31,Yelloweye Rockfish,7,28,2002,IPHC,R,46,Fork length,1950,Male,1,1087,NA,NA,NA,25,18,20,2,
410129-R-02004,32,Yelloweye Rockfish,7,28,2002,IPHC,R,48,Fork length,2215,Male,1,1133,NA,NA,18,19,18,18,2,
410129-R-02004,33,Yelloweye Rockfish,7,28,2002,IPHC,R,50,Fork length,2285,Female,1,1095,23,NA,27,27,29,27,2,
410129-R-02004,34,Yelloweye Rockfish,7,28,2002,IPHC,R,46,Fork length,1745,Male,1,1097,NA,NA,17,20,17,17,2,
410129-R-02004,35,Yelloweye Rockfish,7,28,2002,IPHC,R,49,Fork length,2405,Female,1,1105,24,NA,32,32,31,33,2,
410129-R-02004,36,Yelloweye Rockfish,7,28,2002,IPHC,R,59,Fork length,4050,Male,1,1098,NA,NA,NA,57,56,61,2,
410129-R-02004,37,Yelloweye Rockfish,7,28,2002,IPHC,R,51,Fork length,2485,Male,1,1086,NA,NA,NA,26,23,22,2,
410129-R-02004,38,Yelloweye Rockfish,7,28,2002,IPHC,R,59,Fork length,4480,Male,1,1094,NA,NA,NA,48,35,42,2,
410129-R-02004,39,Yelloweye Rockfish,7,28,2002,IPHC,R,52,Fork length,3080,Female,1,1106,25,NA,NA,47,41,44,2,
410129-R-02004,40,Yelloweye Rockfish,7,28,2002,IPHC,R,45,Fork length,1815,Male,1,1071,NA,NA,17,17,17,17,2,
410129-R-02004,41,Yelloweye Rockfish,7,28,2002,IPHC,R,51,Fork length,2560,Female,1,1143,26,NA,NA,32,23,29,2,
410129-R-02004,42,Yelloweye Rockfish,7,28,2002,IPHC,R,43,Fork length,1440,Female,1,1078,27,NA,NA,23,12,NA,2,
410129-R-02004,43,Yelloweye Rockfish,7,28,2002,IPHC,R,47,Fork length,1830,Male,1,1120,NA,NA,NA,22,19,NA,2,
410129-R-02004,44,Yelloweye Rockfish,7,28,2002,IPHC,R,61,Fork length,4205,Male,1,1142,NA,NA,NA,69,58,58,2,
410129-R-02004,45,Yelloweye Rockfish,7,28,2002,IPHC,R,43,Fork length,1690,Male,1,1129,NA,NA,20,22,20,20,2,
410129-R-02004,46,Yelloweye Rockfish,7,28,2002,IPHC,R,58,Fork length,4300,Male,1,1111,NA,NA,62,61,62,63,2,
410129-R-02004,47,Yelloweye Rockfish,7,28,2002,IPHC,R,53,Fork length,2835,Male,1,1138,NA,NA,NA,33,30,27,2,
410129-R-02004,48,Yelloweye Rockfish,7,28,2002,IPHC,R,57,Fork length,3790,Female,1,1076,28,NA,54,55,54,51,2,
410129-R-02004,49,Yelloweye Rockfish,7,28,2002,IPHC,R,50,Fork length,2575,Male,1,1102,NA,NA,NA,36,31,35,2,
410129-R-02004,50,Yelloweye Rockfish,7,28,2002,IPHC,R,61,Fork length,4305,Male,1,1103,NA,NA,NA,58,55,52,2,
410129-R-02004,51,Yelloweye Rockfish,7,28,2002,IPHC,R,48,Fork length,2335,Male,1,1090,NA,NA,21,20,21,21,2,
410129-R-02004,52,Yelloweye Rockfish,7,28,2002,IPHC,R,44,Fork length,1730,Male,1,1127,NA,NA,21,21,21,20,2,
410129-R-02004,53,Yelloweye Rockfish,7,28,2002,IPHC,R,43,Fork length,1570,Male,0,1085,NA,NA,NA,18,14,17,2,
410129-R-02004,54,Yelloweye Rockfish,7,28,2002,IPHC,R,47,Fork length,1945,Male,1,1082,NA,NA,21,23,21,20,2,
410129-R-02004,55,Yelloweye Rockfish,7,28,2002,IPHC,R,52,Fork length,2780,Male,1,1141,NA,NA,29,29,30,28,2,
410129-R-02004,56,Yelloweye Rockfish,7,28,2002,IPHC,R,47,Fork length,2115,Female,1,1092,29,NA,26,27,24,26,2,
410129-R-02004,57,Yelloweye Rockfish,7,28,2002,IPHC,R,55,Fork length,3300,Male,1,1126,NA,NA,NA,34,27,30,2,
410129-R-02004,58,Yelloweye Rockfish,7,28,2002,IPHC,R,57,Fork length,3885,Female,1,1119,30,NA,46,46,49,46,2,
410129-R-02004,59,Yelloweye Rockfish,7,28,2002,IPHC,R,50,Fork length,2500,Male,1,1079,NA,NA,NA,33,26,25,2,
410129-R-02004,60,Yelloweye Rockfish,7,28,2002,IPHC,R,51,Fork length,2925,Male,1,1074,NA,NA,NA,26,20,23,2,
410129-R-02004,61,Yelloweye Rockfish,7,28,2002,IPHC,R,47,Fork length,2150,Female,1,1088,31,NA,18,19,18,18,2,
410129-R-02004,62,Yelloweye Rockfish,7,28,2002,IPHC,R,50,Fork length,2200,Female,1,1116,32,NA,NA,26,23,21,2,
410129-R-02004,63,Yelloweye Rockfish,7,28,2002,IPHC,R,48,Fork length,1905,Male,1,1070,NA,NA,20,21,20,18,2,
410129-R-02004,64,Yelloweye Rockfish,7,28,2002,IPHC,R,54,Fork length,2945,Female,1,1089,33,NA,NA,44,48,NA,2,
410129-R-02004,65,Yelloweye Rockfish,7,28,2002,IPHC,R,51,Fork length,2815,Female,1,1100,34,NA,32,32,31,32,2,
410129-R-02004,66,Yelloweye Rockfish,7,28,2002,IPHC,R,49,Fork length,2075,Female,1,1118,35,NA,21,22,21,21,2,
410129-R-02004,67,Yelloweye Rockfish,7,28,2002,IPHC,R,50,Fork length,2195,Female,1,1113,36,NA,NA,39,30,30,2,
410129-R-02004,68,Yelloweye Rockfish,7,28,2002,IPHC,R,54,Fork length,3165,Male,1,1081,NA,NA,NA,37,30,29,2,
410129-R-02004,69,Yelloweye Rockfish,7,28,2002,IPHC,R,56,Fork length,3530,Male,1,1073,NA,NA,32,35,32,32,2,
410129-R-02004,70,Yelloweye Rockfish,7,28,2002,IPHC,R,60,Fork length,4270,Female,1,1096,37,NA,53,54,51,53,2,
410129-R-02004,71,Yelloweye Rockfish,7,28,2002,IPHC,R,55,Fork length,3375,Female,1,1139,38,NA,46,50,46,43,2,
410129-R-02004,72,Yelloweye Rockfish,7,28,2002,IPHC,R,46,Fork length,1830,Female,1,1072,39,NA,19,20,19,19,2,
410129-R-02004,73,Yelloweye Rockfish,7,28,2002,IPHC,R,49,Fork length,2110,Female,1,1075,40,NA,NA,29,25,24,2,
410129-R-02004,74,Yelloweye Rockfish,7,28,2002,IPHC,R,44,Fork length,1570,Male,0,1083,NA,NA,15,16,15,14,2,
410129-R-02004,75,Yelloweye Rockfish,7,28,2002,IPHC,R,43,Fork length,1450,Unknown,0,1132,NA,NA,17,18,17,16,2,
410129-R-02004,76,Yelloweye Rockfish,7,28,2002,IPHC,R,43,Fork length,1535,Female,1,1130,41,NA,NA,24,19,NA,2,
410129-R-02005,1,Yelloweye Rockfish,8,6,2002,IPHC,R,50,Fork length,2545,Male,1,1401,NA,NA,21,21,21,21,2,
410129-R-02005,2,Yelloweye Rockfish,8,6,2002,IPHC,R,41,Fork length,1290,Male,0,1165,NA,NA,17,21,15,NA,2,
410129-R-02005,3,Yelloweye Rockfish,8,6,2002,IPHC,R,42,Fork length,1345,Male,0,1403,NA,NA,16,18,14,16,2,
410129-R-02005,4,Yelloweye Rockfish,8,6,2002,IPHC,R,49,Fork length,2270,Male,1,1166,NA,NA,16,16,16,17,1,
410129-R-02005,5,Yelloweye Rockfish,8,6,2002,IPHC,R,45,Fork length,1670,Male,1,1179,NA,NA,16,17,15,16,2,
410129-R-02005,6,Yelloweye Rockfish,8,6,2002,IPHC,R,49,Fork length,2250,Female,1,1404,42,NA,27,29,25,27,2,
410129-R-02005,7,Yelloweye Rockfish,8,6,2002,IPHC,R,56,Fork length,3420,Male,1,1410,NA,NA,32,32,30,32,2,
410129-R-02005,8,Yelloweye Rockfish,8,6,2002,IPHC,R,47,Fork length,2420,Male,1,1155,NA,NA,26,26,27,26,2,
410129-R-02005,9,Yelloweye Rockfish,8,6,2002,IPHC,R,39,Fork length,1210,Male,0,1151,NA,NA,16,17,15,16,2,
410129-R-02005,10,Yelloweye Rockfish,8,6,2002,IPHC,R,52,Fork length,2925,Female,1,1159,43,NA,33,34,32,33,2,
410129-R-02005,11,Yelloweye Rockfish,8,6,2002,IPHC,R,47,Fork length,2005,Female,1,1183,44,NA,24,24,25,24,2,
410129-R-02005,12,Yelloweye Rockfish,8,6,2002,IPHC,R,53,Fork length,2410,Female,1,1186,45,NA,26,26,26,26,2,
410129-R-02005,13,Yelloweye Rockfish,8,6,2002,IPHC,R,53,Fork length,3335,Male,1,1414,NA,NA,27,32,25,27,2,
410129-R-02005,14,Yelloweye Rockfish,8,6,2002,IPHC,R,61,Fork length,4920,Male,1,1149,NA,NA,31,33,31,31,2,
410129-R-02005,15,Yelloweye Rockfish,8,6,2002,IPHC,R,49,Fork length,2430,Female,1,1163,46,NA,27,29,27,27,2,
410129-R-02005,16,Yelloweye Rockfish,8,6,2002,IPHC,R,53,Fork length,2965,Female,1,1161,47,NA,32,30,31,32,2,
410129-R-02005,17,Yelloweye Rockfish,8,6,2002,IPHC,R,41,Fork length,1420,Male,0,1180,NA,NA,17,17,16,17,2,
410129-R-02005,18,Yelloweye Rockfish,8,6,2002,IPHC,R,51,Fork length,2750,Male,1,1145,NA,NA,23,25,23,23,2,
410129-R-02005,19,Yelloweye Rockfish,8,6,2002,IPHC,R,47,Fork length,1860,Female,1,1402,48,NA,18,19,17,18,2,
410129-R-02005,20,Yelloweye Rockfish,8,6,2002,IPHC,R,45,Fork length,1895,Male,1,1160,NA,NA,20,22,19,20,2,
410129-R-02005,21,Yelloweye Rockfish,8,6,2002,IPHC,R,46,Fork length,1705,Male,1,1178,NA,NA,15,15,15,15,2,
410129-R-02005,22,Yelloweye Rockfish,8,6,2002,IPHC,R,55,Fork length,3310,Male,1,1146,NA,NA,25,27,26,25,2,
410129-R-02005,23,Yelloweye Rockfish,8,6,2002,IPHC,R,49,Fork length,2665,Male,1,1411,NA,NA,25,28,26,25,2,
410129-R-02005,24,Yelloweye Rockfish,8,6,2002,IPHC,R,57,Fork length,3745,Male,1,1157,NA,NA,29,32,31,29,2,
410129-R-02005,25,Yelloweye Rockfish,8,6,2002,IPHC,R,43,Fork length,1660,Male,0,1150,NA,NA,17,20,18,17,2,
410129-R-02005,26,Yelloweye Rockfish,8,6,2002,IPHC,R,45,Fork length,1670,Male,1,1164,NA,NA,14,20,13,14,3,
410129-R-02005,27,Yelloweye Rockfish,8,6,2002,IPHC,R,49,Fork length,2330,Female,1,1181,49,NA,25,35,25,25,2,
410129-R-02005,28,Yelloweye Rockfish,8,6,2002,IPHC,R,57,Fork length,3805,Male,1,1176,NA,NA,26,29,29,26,2,
410129-R-02005,29,Yelloweye Rockfish,8,6,2002,IPHC,R,53,Fork length,2555,Male,1,1185,NA,NA,26,27,24,26,2,
410129-R-02005,30,Yelloweye Rockfish,8,6,2002,IPHC,R,58,Fork length,3680,Male,1,1409,NA,NA,31,32,31,31,2,
410129-R-02005,31,Yelloweye Rockfish,8,6,2002,IPHC,R,53,Fork length,2895,Female,1,1152,50,NA,24,29,27,24,2,
410129-R-02005,32,Yelloweye Rockfish,8,6,2002,IPHC,R,69,Fork length,6260,Female,1,1147,51,NA,76,86,80,76,2,
410129-R-02005,33,Yelloweye Rockfish,8,6,2002,IPHC,R,48,Fork length,2140,Male,1,1177,NA,NA,19,19,18,19,2,
410129-R-02005,34,Yelloweye Rockfish,8,6,2002,IPHC,R,47,Fork length,1870,Female,1,1182,52,NA,20,21,20,20,2,
410129-R-02005,35,Yelloweye Rockfish,8,6,2002,IPHC,R,37,Fork length,920,Female,0,1184,53,NA,16,17,16,15,2,
410129-R-02005,36,Yelloweye Rockfish,8,6,2002,IPHC,R,63,Fork length,5115,Female,1,1148,54,NA,87,104,91,87,2,
410129-R-02005,37,Yelloweye Rockfish,8,6,2002,IPHC,R,46,Fork length,NA,Unknown,0,1156,NA,NA,20,20,17,20,2,
410129-R-03001,14,Yelloweye Rockfish,7,21,2003,IPHC,R,65,Fork length,5039,Female,1,1672,6,NA,68,73,NA,68,2,
410129-R-03001,97,Yelloweye Rockfish,7,21,2003,IPHC,R,57,Fork length,3814,Female,1,1922,46,NA,51,51,NA,48,2,
410129-R-03001,43,Yelloweye Rockfish,7,21,2003,IPHC,R,66,Fork length,6311,Male,1,1656,NA,NA,94,94,NA,94,2,
410129-R-03001,9,Yelloweye Rockfish,7,21,2003,IPHC,R,56,Fork length,3269,Male,1,1664,NA,NA,19,17,NA,19,2,
410129-R-03001,91,Yelloweye Rockfish,7,21,2003,IPHC,R,58,Fork length,3995,Male,1,1663,NA,NA,31,41,NA,31,2,
410129-R-03001,92,Yelloweye Rockfish,7,21,2003,IPHC,R,52,Fork length,3178,Male,1,1917,NA,NA,24,24,23,24,2,
410129-R-03001,61,Yelloweye Rockfish,7,21,2003,IPHC,R,51,Fork length,2724,Female,1,1658,26,NA,22,18,NA,22,2,
410129-R-03001,70,Yelloweye Rockfish,7,21,2003,IPHC,R,57,Fork length,3587,Male,1,1925,NA,NA,25,25,NA,25,2,
410129-R-03001,30,Yelloweye Rockfish,7,21,2003,IPHC,R,58,Fork length,3587,Male,1,1948,NA,NA,25,25,NA,24,2,
410129-R-03001,71,Yelloweye Rockfish,7,21,2003,IPHC,R,46,Fork length,1771,Female,1,1958,31,NA,19,19,NA,19,2,
410129-R-03001,53,Yelloweye Rockfish,7,21,2003,IPHC,R,46,Fork length,1771,Male,0,1903,NA,NA,19,18,NA,19,2,
410129-R-03001,57,Yelloweye Rockfish,7,21,2003,IPHC,R,58,Fork length,4449,Male,1,1513,NA,NA,27,31,NA,27,2,
410129-R-03001,55,Yelloweye Rockfish,7,21,2003,IPHC,R,64,Fork length,5584,Male,1,1655,NA,NA,64,72,NA,64,3,
410129-R-03001,36,Yelloweye Rockfish,7,21,2003,IPHC,R,66,Fork length,6174,Female,0,1932,21,NA,97,94,101,97,2,
410129-R-03001,13,Yelloweye Rockfish,7,21,2003,IPHC,R,64,Fork length,5493,Female,1,1994,5,NA,74,72,NA,74,2,
410129-R-03001,35,Yelloweye Rockfish,7,21,2003,IPHC,R,64,Fork length,4994,Female,1,1947,20,NA,48,50,NA,48,2,
410129-R-03001,20,Yelloweye Rockfish,7,21,2003,IPHC,R,62,Fork length,4631,Female,1,1659,10,NA,71,71,67,73,2,
410129-R-03001,38,Yelloweye Rockfish,7,21,2003,IPHC,R,66,Fork length,6174,Male,1,1671,NA,NA,81,80,NA,81,2,
410129-R-03001,94,Yelloweye Rockfish,7,21,2003,IPHC,R,46,Fork length,2088,Female,0,1662,44,NA,14,14,NA,14,2,
410129-R-03001,64,Yelloweye Rockfish,7,21,2003,IPHC,R,47,Fork length,1771,Female,1,1422,28,NA,21,19,22,21,2,
410129-R-03001,41,Yelloweye Rockfish,7,21,2003,IPHC,R,54,Fork length,2815,Male,1,1657,NA,NA,24,24,NA,22,2,
410129-R-03001,50,Yelloweye Rockfish,7,21,2003,IPHC,R,60,Fork length,4041,Male,1,1675,NA,NA,30,32,NA,30,2,
410129-R-03001,32,Yelloweye Rockfish,7,21,2003,IPHC,R,63,Fork length,4585,Male,1,1909,NA,NA,35,37,35,35,2,
410129-R-03001,89,Yelloweye Rockfish,7,21,2003,IPHC,R,60,Fork length,4268,Male,1,1941,NA,NA,31,37,NA,31,2,
410129-R-03001,86,Yelloweye Rockfish,7,21,2003,IPHC,R,64,Fork length,5312,Male,1,1510,NA,NA,42,46,NA,42,2,
410129-R-03001,98,Yelloweye Rockfish,7,21,2003,IPHC,R,60,Fork length,4177,Male,1,1667,NA,NA,27,27,NA,27,2,
410129-R-03001,88,Yelloweye Rockfish,7,21,2003,IPHC,R,65,Fork length,5493,Female,1,1934,41,NA,65,65,65,61,2,
410129-R-03001,21,Yelloweye Rockfish,7,21,2003,IPHC,R,59,Fork length,3723,Female,1,1910,11,NA,38,37,NA,38,2,
410129-R-03001,6,Yelloweye Rockfish,7,21,2003,IPHC,R,62,Fork length,4268,Male,1,1444,NA,NA,33,32,NA,33,2,
410129-R-03001,69,Yelloweye Rockfish,7,21,2003,IPHC,R,65,Fork length,5357,Male,1,1653,NA,NA,52,57,NA,52,2,
410129-R-03001,93,Yelloweye Rockfish,7,21,2003,IPHC,R,54,Fork length,3223,Female,1,1939,43,NA,23,25,NA,23,2,
410129-R-03001,82,Yelloweye Rockfish,7,21,2003,IPHC,R,54,Fork length,2996,Female,1,1918,38,NA,32,37,NA,32,2,
410129-R-03001,73,Yelloweye Rockfish,7,21,2003,IPHC,R,51,Fork length,2406,Female,1,1424,33,NA,24,24,NA,24,2,
410129-R-03001,33,Yelloweye Rockfish,7,21,2003,IPHC,R,61,Fork length,4358,Female,1,1928,18,NA,53,55,NA,53,2,
410129-R-03001,39,Yelloweye Rockfish,7,21,2003,IPHC,R,60,Fork length,4540,Female,1,1911,22,NA,36,36,NA,36,2,
410129-R-03001,58,Yelloweye Rockfish,7,21,2003,IPHC,R,70,Fork length,6810,Male,1,1511,NA,NA,65,53,NA,65,3,
410129-R-03001,72,Yelloweye Rockfish,7,21,2003,IPHC,R,66,Fork length,5947,Female,1,1674,32,NA,87,87,88,85,2,
410129-R-03001,15,Yelloweye Rockfish,7,21,2003,IPHC,R,63,Fork length,5312,Female,1,1906,7,NA,48,52,NA,48,3,
410129-R-03001,5,Yelloweye Rockfish,7,21,2003,IPHC,R,58,Fork length,3450,Female,1,1434,2,NA,27,27,NA,29,2,
410129-R-03001,84,Yelloweye Rockfish,7,21,2003,IPHC,R,63,Fork length,5630,Female,1,1996,39,NA,89,92,96,89,3,
410129-R-03001,10,Yelloweye Rockfish,7,21,2003,IPHC,R,67,Fork length,6038,Male,1,1673,NA,NA,53,54,NA,53,2,
410129-R-03001,49,Yelloweye Rockfish,7,21,2003,IPHC,R,53,Fork length,3087,Male,1,1999,NA,NA,22,22,NA,25,2,
410129-R-03001,77,Yelloweye Rockfish,7,21,2003,IPHC,R,65,Fork length,5221,Male,1,1931,NA,NA,96,99,NA,96,2,
410129-R-03001,27,Yelloweye Rockfish,7,21,2003,IPHC,R,65,Fork length,5130,Female,1,1938,16,NA,66,64,NA,66,2,
410129-R-03001,11,Yelloweye Rockfish,7,21,2003,IPHC,R,64,Fork length,5357,Female,1,1654,4,NA,88,88,NA,86,2,
410129-R-03001,85,Yelloweye Rockfish,7,21,2003,IPHC,R,62,Fork length,4858,Female,1,1666,40,NA,46,46,NA,44,2,
410129-R-03001,60,Yelloweye Rockfish,7,21,2003,IPHC,R,58,Fork length,3677,Male,0,1960,NA,NA,22,22,22,22,2,
410129-R-03001,46,Yelloweye Rockfish,7,21,2003,IPHC,R,64,Fork length,5039,Female,1,1949,24,NA,90,86,NA,90,2,
410129-R-03001,18,Yelloweye Rockfish,7,21,2003,IPHC,R,53,Fork length,2906,Female,1,1668,9,NA,24,24,NA,24,2,
410129-R-03001,74,Yelloweye Rockfish,7,21,2003,IPHC,R,71,Fork length,6401,Female,1,1998,34,NA,89,92,NA,89,3,
410129-R-03001,25,Yelloweye Rockfish,7,21,2003,IPHC,R,62,Fork length,4767,Female,1,1940,14,NA,56,56,NA,53,2,
410129-R-03001,62,Yelloweye Rockfish,7,21,2003,IPHC,R,59,Fork length,4631,Male,1,1419,NA,NA,66,68,NA,66,2,
