Newport Specimen ,Master DFG#,Newport SampleID,Original Age Estimate,Double Read,Final Age,Ager ID ,DateAged,CRFS Tag #,Year,Month,Day,Fork Length (mm),Total Length (mm),WGT (kg),Location,Sex,Otoliths,Notes,,,
CA20120514-YEYE-7,YE-007,CA20120514,16,,16,bkamikawa,3/23/2017,19480,2012,5,14,460,468,2,Fort Bragg,2,Yes,whole fish; 2 otoliths; tag # not in RecFIN,5/14/2012,,
CA20120921-YEYE-22,YE-022,CA20120921,19,,19,bkamikawa,3/23/2017,30360,2012,9,21,521,530,2.9,Crescent City,2,Yes,,9/21/2012,,
CA20120628-YEYE-25,YE-025,CA20120628,9,,9,bkamikawa,3/23/2017,72692,2012,6,28,386,392,,Shelter Cove,2,Yes,,6/28/2012,,
CA20121009-YEYE-26,YE-026,CA20121009,13,13,13,bkamikawa,3/23/2017,30393,2012,10,9,540,549,1.7,Shelter Cove,2,Yes,,10/9/2012,,
CA20120921-YEYE-89,YE-089,CA20120921,19,,19,bkamikawa,3/24/2017,30359,2012,9,21,592,602,4.5,Crescent City,2,Yes,,9/21/2012,,
CA20120726-YEYE-9,YE-009,CA20120726,9,,9,bkamikawa,3/23/2017,53618,2012,7,26,370,376,1.2,Santa Cruz,9,Yes,whole fish; 2 otoliths; tag # not in RecFIN,7/26/2012,,
CA20120827-YEYE-23,YE-023,CA20120827,11,9,9,bkamikawa,3/23/2017,57421,2012,8,27,385,391,1,Bodega,9,Yes,,8/27/2012,,
CA20130912-YEYE-27,YE-027,CA20130912,19,,19,bkamikawa,3/23/2017,30363,2013,9,12,541,550,2.8,Shelter Cove,1,Yes,whole fish; 2 otoliths,9/12/2013,,
CA20130807-YEYE-30,YE-030,CA20130807,10,,10,bkamikawa,3/23/2017,30354,2013,8,7,339,344,0.73,Crescent City,1,Yes,  ,8/7/2013,,
CA20130628-YEYE-33,YE-033,CA20130628,23,21,23,bkamikawa,3/24/2017,30353,2013,6,28,498,506,2.8,Shelter Cove,1,Yes,whole fish; 2 otoliths,6/28/2013,,
CA20130726-YEYE-34,YE-034,CA20130726,15,,15,bkamikawa,3/24/2017,30394,2013,7,26,431,438,1.6,Crescent City,1,Yes,whole fish; 2 otoliths,7/26/2013,,
CA20130807-YEYE-28,YE-028,CA20130807,25,,25,bkamikawa,3/23/2017,30356,2013,8,7,361,367,0.89,Crescent City,2,Yes,whole fish; 2 otoliths,8/7/2013,,
CA20130601-YEYE-35,YE-035,CA20130601,14,,14,bkamikawa,3/24/2017,N/A,2013,6,1,479,487,,Timber Cove,2,Yes,whole fish; 2 otoliths,6/1/2013,,
CA20130604-YEYE-36,YE-036,CA20130604,8,,8,bkamikawa,3/24/2017,N/A,2013,6,4,374,380,,Ft Ross,2,Yes,whole fish; 2 otoliths,6/4/2013,,
CA20131026-YEYE-37,YE-037,CA20131026,10,,10,bkamikawa,3/24/2017,N/A,2013,10,26,383,389,,Sonoma,2,Yes,whole fish; 2 otoliths,10/26/2013,,
CA20130807-YEYE-29,YE-029,CA20130807,13,,13,bkamikawa,3/23/2017,30355,2013,8,7,360,366,0.86,Crescent City,9,Yes,whole fish 2 otoliths; internal abdominal parasitic Sarcotaces,8/7/2013,,
CA20130928-YEYE-52,YE-052,CA20130928,4,4,4,bkamikawa,3/24/2017,53623,2013,9,28,196,199,0.13,Santa Cruz,9,Yes,Whole fish; 2 otoliths,9/28/2013,,
CA20140706-YEYE-39,YE-039,CA20140706,7,7,7,bkamikawa,3/24/2017,38638,2014,7,6,370,376,,Bodega,1,yes,whole fish; 2 otoliths,7/6/2014,,
CA20140719-YEYE-41,YE-041,CA20140719,10,,10,bkamikawa,3/24/2017,30389,2014,7,19,574,584,,Point Arena,1,Yes,whole fish; 2 otoliths; found as SALCK in CRFS data,7/19/2014,,
CA20140722-YEYE-46,YE-046,CA20140722,11,,11,bkamikawa,3/24/2017,30365,2014,7,22,438,445,1.5,Fields Landing,1,Yes,whole fish; 2 otoliths,7/22/2014,,
CA20140827-YEYE-51,YE-051,CA20140827,16,,16,bkamikawa,3/24/2017,97197,2014,8,27,538,547,3.3,Shelter Cove,1,Yes,whole fish; 2 otoliths,8/27/2014,,
CA20140921-YEYE-42,YE-042,CA20140921,11,,11,bkamikawa,3/24/2017,57422,2014,9,21,446,453,,Ocean Cove,2,Yes,whole fish; 2 otoliths,9/21/2014,,
CA20140515-YEYE-43,YE-043,CA20140515,11,,11,bkamikawa,3/24/2017,30364,2014,5,15,410,417,1.4,Shelter Cove,2,Yes,whole fish; 2 otoliths,5/15/2014,,
CA20140727-YEYE-45,YE-045,CA20140727,17,,17,bkamikawa,3/24/2017,30395,2014,7,27,447,454,1.7,Crescent City,2,Yes,whole fish; 2 otoliths; duplicate tag # in CRFS database,7/27/2014,,
CA20140619-YEYE-50,YE-050,CA20140619,13,,13,bkamikawa,3/24/2017,97974,2014,6,19,388,394,1.4,Crescent City,2,Yes,whole fish; 2 otoliths,6/19/2014,,
CA20140728-YEYE-38,YE-038,CA20140728,10,,10,bkamikawa,3/24/2017,38635,2014,7,28,382,388,1.2,Santa Cruz,9,yes,head only; cut almost missed otoliths,7/28/2014,,
CA20140619-YEYE-40,YE-040,CA20140619,12,,12,bkamikawa,3/24/2017,97077,2014,6,19,343,348,0.68,Crescent City,9,Yes,whole fish; 2 otoliths,6/19/2014,,
CA20140619-YEYE-48,YE-048,CA20140619,10,13,12,bkamikawa,3/24/2017,97975,2014,6,19,360,366,1.1,Crescent City,9,Yes,whole fish; 2 otoliths,6/19/2014,,
CA20140619-YEYE-49,YE-049,CA20140619,7,,7,bkamikawa,3/24/2017,97976,2014,6,19,306,311,0.61,Crescent City,9,Yes,whole fish; 2 otoliths,6/19/2014,,
CA20150419-YEYE-44,YE-044,CA20150419,12,13,12,bkamikawa,3/24/2017,LED,2015,4,19,475,480,2.02,Santa Cruz,1,Yes,whole fish; 2 otoliths; seized by LED,4/19/2015,,
CA20150521-YEYE-64,YE-064,CA20150521,22,22,22,bkamikawa,3/24/2017,19482,2015,5,21,520,529,2.9,Noyo/Fort Bragg,1,Yes,whole fish; ID was hard due to decomp,5/21/2015,,
CA20150614-YEYE-69,YE-069,CA20150614,10,12,11,bkamikawa,3/24/2017,45320,2015,6,14,441,448,2.1,Santa Cruz,1,Yes,whole fish; 2 otoliths,6/14/2015,,
CA20150719-YEYE-73,YE-073,CA20150719,31,,31,bkamikawa,3/24/2017,11837,2015,7,19,540,549,3,Shelter Cove,1,Yes,whole fish; 2 otoliths,7/19/2015,,
CA20150819-YEYE-74,YE-074,CA20150819,20,,20,bkamikawa,3/24/2017,30384,2015,8,19,522,531,2.9,Shelter Cover,1,Yes,whoe fish; 2 otoliths,8/19/2015,,
CA20150824C-YEYE-75,YE-075,CA20150824C,17,,17,bkamikawa,3/24/2017,19477,2015,8,24,530,539,2.9,Crescent City,1,Yes,whole fish; 2 otoliths,8/24/2015,,
CA20150920-YEYE-76,YE-076,CA20150920,12,,12,bkamikawa,3/24/2017,97920,2015,9,20,440,447,1.6,"Princeton,Halfmoon Bay",1,Yes,whole fish; 2 otoliths,9/20/2015,,
CA20150707-YEYE-81,YE-081,CA20150707,28,,28,bkamikawa,3/24/2017,11829,2015,7,7,573,583,4,"Fields Landing, Eureka",1,Yes,whole fish; 2 otoliths,7/7/2015,,
CA20150906-YEYE-82,YE-082,CA20150906,17,,17,bkamikawa,3/24/2017,30385,2015,9,6,533,542,3.1,Crescent City,1,Yes,whole fish; 2 otoliths,9/6/2015,,
CA20150710-YEYE-83,YE-083,CA20150710,22,,22,bkamikawa,3/24/2017,LED Evidence,2015,7,10,473,481,,Shelter Cove,1,Yes,LED sized-whole fish; 2 otoliths,7/10/2015,,
CA20150915-YEYE-54,YE-054,CA20150915,5,,5,bkamikawa,3/24/2017,38641,2015,9,15,247,251,0.28,Santa Cruz,2,Yes,whole fish; 2 otoliths,9/15/2015,,
CA20150628-YEYE-57,YE-057,CA20150628,4,,4,bkamikawa,3/24/2017,N/A,2015,6,28,234,237,,Santa Cruz,2,Yes,Whole fish; 2 otoliths,6/28/2015,,
CA20150920-YEYE-58,YE-058,CA20150920,15,,15,bkamikawa,3/24/2017,97919,2015,9,20,491,499,2.6,Princeton (Halfmoon Bay),2,Yes,whole fish; 2 otoliths,9/20/2015,,
CA20150805-YEYE-59,YE-059,CA20150805,12,,12,bkamikawa,3/24/2017,30368,2015,8,5,415,422,1.4,Fort Bragg,2,Yes,whole fish; 2 otoliths,8/5/2015,,
CA20150824-YEYE-60,YE-060,CA20150824,5,,5,bkamikawa,3/24/2017,45322,2015,8,24,198,201,0.11,Santa Cruz,2,Yes,whole fish; 2 otoliths,8/24/2015,,
CA20150823-YEYE-61,YE-061,CA20150823,12,13,12,bkamikawa,3/24/2017,45312,2015,8,23,424,431,1.6,Princeton (Halfmoon Bay),2,Yes,whole fish; 2 otoliths,8/23/2015,,
CA20150607-YEYE-62,YE-062,CA20150607,8,,8,bkamikawa,3/24/2017,19483,2015,6,7,405,412,1.25,Fort Bragg,2,Yes,whole fish; 2 otoliths,6/7/2015,,
CA20150610-YEYE-63,YE-063,CA20150610,21,,21,bkamikawa,3/24/2017,19484,2015,6,10,534,543,3.1,Fort Bragg,2,Yes,whole fish; 2 otoliths,6/10/2015,,
CA20150808-YEYE-65,YE-065,CA20150808,12,,12,bkamikawa,3/24/2017,38637,2015,8,8,457,464,2.1,Santa Cruz,2,Yes,fillet carcass; 2 otoliths,8/8/2015,,
CA20150811-YEYE-66,YE-066,CA20150811,22,,22,bkamikawa,3/24/2017,30373,2015,8,11,530,539,,Fort Bragg,2,Yes,fillet carcass; 2 otoliths,8/11/2015,,
CA20151030-YEYE-70,YE-070,CA20151030,17,,17,bkamikawa,3/24/2017,97979,2015,10,30,470,478,2.1,Crescent City,2,Yes,whole fish; 2 otoliths;,10/30/2015,,
CA20150830-YEYE-71,YE-071,CA20150830,21,,21,bkamikawa,3/24/2017,30374,2015,8,30,485,493,2.35,Fort Bragg,2,Yes,whole fish; 2 otoliths,8/30/2015,,
CA20150906-YEYE-72,YE-072,CA20150906,26,,26,bkamikawa,3/24/2017,11838,2015,9,6,591,601,4.7,Crescent City,2,Yes,whole fish;2 otoliths,9/6/2015,,
CA20150829-YEYE-77,YE-077,CA20150829,14,,14,bkamikawa,3/24/2017,38676,2015,8,29,473,481,2,"Ocean Cove,San Francisco",2,Yes,whole fish; 2 otoliths,8/29/2015,,
CA20150813-YEYE-78,YE-078,CA20150813,12,13,13,bkamikawa,3/24/2017,11833,2015,8,13,420,427,1.5,Shelter Cove,2,Yes,whole fish; 2 otoliths,8/13/2015,,
CA20150805C-YEYE-79,YE-079,CA20150805C,14,,14,bkamikawa,3/24/2017,19476,2015,8,5,479,487,2.1,Crescent City,2,Yes,whole fish; 2 otoliths,8/5/2015,,
CA20150707-YEYE-80,YE-080,CA20150707,18,,18,bkamikawa,3/24/2017,11830,2015,7,7,465,473,1.9,"Fields Landing, Eureka",2,Yes,whole fish; 2 otoliths,7/7/2015,,
CA20150517-YEYE-55,YE-055,CA20150517,6,,6,bkamikawa,3/24/2017,45319,2015,5,17,246,250,0.28,Santa Cruz,9,Yes,whole fish; 2 otoliths,5/17/2015,,
CA20150605-YEYE-56,YE-056,CA20150605,7,6,7,bkamikawa,3/24/2017,38639,2015,6,5,242,246,0.25,Santa Cruz,9,Yes,whole fish; 2 otoliths,6/5/2015,,
CA20150712-YEYE-84,YE-084,CA20150712,13,,13,bkamikawa,3/24/2017,54935,2015,7,12,422,429,1.55,Bodega Bay,9,Yes,"Fillet fish; no sex, 2 otoliths",7/12/2015,,
CA20160721-YEYE-86,YE-086,CA20160721,12,,12,bkamikawa,3/24/2017,00106,2016,7,21,483,491,2.2,Fort Bragg,1,Yes,,7/21/2016,,
CA20160731-YEYE-90,YE-090,CA20160731,22,,22,bkamikawa,3/24/2017,00096,2016,7,31,519,528,,Princeton,1,Yes,,7/31/2016,,
CA20160616-YEYE-92,YE-092,CA20160616,18,,18,bkamikawa,3/24/2017,00161,2016,6,16,480,488,2.3,Shelter Cove,1,Yes,,6/16/2016,,
CA20160716-YEYE-95,YE-095,CA20160716,14,,14,bkamikawa,3/24/2017,00046,2016,7,16,504,512,2.3,Santa Cruz,1,Yes,,7/16/2016,,
CA20160910-YEYE-99,YE-099,CA20160910,11,,11,bkamikawa,3/24/2017,00006,2016,9,10,480,488,2,Monterey ,1,Yes,,9/10/2016,,
CA20160521-YEYE-85,YE-085,CA20160521,14,,14,bkamikawa,3/24/2017,00050,2016,5,21,443,450,1.7,Avila,2,Yes,,5/21/2016,,
CA20160813-YEYE-87,YE-087,CA20160813,8,,8,bkamikawa,3/24/2017,00254,2016,8,13,324,329,0.67,Bodega,2,Yes,,8/13/2016,,
CA20160827-YEYE-88,YE-088,CA20160827,14,,14,bkamikawa,3/24/2017,19478,2016,8,27,496,504,2.5,Princeton,2,Yes,,8/27/2016,,
CA20160512-YEYE-91,YE-091,CA20160512,7,6,6,bkamikawa,3/24/2017,00049,2016,5,12,316,321,0.62,Moss Landing,2,Yes,,5/12/2016,,
CA20160609-YEYE-93,YE-093,CA20160609,12,,12,bkamikawa,3/24/2017,00068,2016,6,9,423,430,1.5,Bodega,2,Yes,,6/9/2016,,
CA20160608-YEYE-94,YE-094,CA20160608,10,,10,bkamikawa,3/24/2017,00067,2016,6,8,390,396,0.3,Bodega,2,Yes,,6/8/2016,,
CA20160511-YEYE-96,YE-096,CA20160511,6,6,6,bkamikawa,3/24/2017,00066,2016,5,11,229,232,0.2,Bodega,9,Yes,"whole fish, sex undeterminable",5/11/2016,,
CA20160806-YEYE-97,YE-097,CA20160806,7,,7,bkamikawa,3/24/2017,00302,2016,8,6,326,331,0.63,Los Angeles,9,Yes,"just the head, sex undeterminable",8/6/2016,,
CA20160806-YEYE-98,YE-098,CA20160806,7,,7,bkamikawa,3/24/2017,00301,2016,8,6,355,361,0.83,Los Angeles,9,Yes,just the head. Sex undeterminable,8/6/2016,,
