RecFIN Year,RecFIN Month,RecFIN Week,Agency,District Name,RecFIN Mode Name,RecFIN Water_Area Name,RecFIN Subregion Name,RecFIN Trip Type Name,Species Name,Retained (# fish),Retained (mt),Released Alive (# fish),Released Alive (mt),Released Dead (# fish),Released Dead (mt),Total Mortality (# fish),Total Mortality (mt)
1990,7,30,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,7,30,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,9,0.023,-,-,-,-,9,0.023
1990,7,30,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,9,0.023,-,-,-,-,9,0.023
1990,7,30,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Anything/Other Species,Yelloweye Rockfish,1,0.003,-,-,-,-,1,0.003
1990,7,30,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,53,0.136,-,-,-,-,53,0.136
1990,7,30,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,36,0.092,-,-,-,-,36,0.092
1990,7,31,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,9,0.023,-,-,-,-,9,0.023
1990,7,31,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,5,0.013,-,-,-,-,5,0.013
1990,8,31,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,36,0.092,-,-,-,-,36,0.092
1990,8,31,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,1,0.003,-,-,-,-,1,0.003
1990,8,31,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Anything/Other Species,Yelloweye Rockfish,3,0.008,-,-,-,-,3,0.008
1990,8,31,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,10,0.026,-,-,-,-,10,0.026
1990,8,32,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,7,0.018,-,-,-,-,7,0.018
1990,8,32,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,7,0.018,-,-,-,-,7,0.018
1990,8,32,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Anything/Other Species,Yelloweye Rockfish,23,0.059,-,-,-,-,23,0.059
1990,8,32,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,36,0.092,-,-,-,-,36,0.092
1990,8,32,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,18,0.046,-,-,-,-,18,0.046
1990,8,32,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,1,0.003,-,-,-,-,1,0.003
1990,8,33,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,5,0.013,-,-,-,-,5,0.013
1990,8,33,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,8,33,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Anything/Other Species,Yelloweye Rockfish,8,0.021,-,-,-,-,8,0.021
1990,8,33,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,3,0.008,-,-,-,-,3,0.008
1990,8,33,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,8,0.021,-,-,-,-,8,0.021
1990,8,34,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Anything/Other Species,Yelloweye Rockfish,10,0.026,-,-,-,-,10,0.026
1990,8,34,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,8,34,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,1,0.003,-,-,-,-,1,0.003
1990,8,34,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,10,0.026,-,-,-,-,10,0.026
1990,8,35,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,13,0.033,-,-,-,-,13,0.033
1990,8,35,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,20,0.051,-,-,-,-,20,0.051
