"year","month","fleet","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
2019,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,1,0,0,2,1,3,1,6,3,9,5,11,6,14,10,11,10,14,8,6,7,3,1,1,0,0,0
2020,"7","fixed-CA",0,1,NA,0,0,0,0,0,1,0,0,1,1,1,2,1,2,1,3,1,0,0,2,3,4,0,0,0,1,3,0,0,0,0,0,0
2021,"7","fixed-CA",0,1,NA,1,0,0,0,0,1,1,0,4,7,4,11,19,25,13,23,19,17,9,9,8,3,7,9,3,1,3,0,0,1,0,0,0
2022,"7","fixed-CA",0,1,NA,0,0,0,0,1,1,1,2,2,4,1,2,3,6,12,6,11,18,16,13,16,15,13,17,13,13,6,2,1,1,0,0,1
2023,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,1,1,0,1,1,1,1,2,3,1,8,7,5,7,8,6,7,6,10,8,0,3,1,3,0,1,0
2004,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,0,0,0,2,0,1,3,1,2,2,2,3,8,4,4,8,7,6,3,2,0,1,1,0,1,0,1
2005,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,6,5,1,2,4,7,1,2,1,0,0,0,0,0,0,0
2006,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,1,2,3,0,5,3,2,3,0,4,4,7,6,10,8,10,8,3,2,4,0,1,0,0,0,0,0
2007,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,1,0,0,6,3,1,6,2,3,7,6,5,8,10,8,3,4,1,1,3,3,5,1,0,0,0,1
2008,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,1,0,1,0,0,1,2,3,0,1,6,6,15,10,9,11,5,4,1,5,2,0,2,3,3,3,0,1
2009,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,2,2,4,5,1,1,1,6,1,1,2,3,0,0,0,0,0,0
2010,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,4,0,3,0,0,0,1,0,0,0,0,0,0
2011,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,0,1,0,1,3,6,1,5,7,2,4,4,3,5,2,2,6,6,4,5,4,0,0,0,0,0,0
2012,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,0,0,3,0,4,10,6,16,5,9,7,6,12,11,4,8,11,5,8,4,1,3,3,1,2,0,0
2013,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,2,3,0,4,1,8,14,15,17,12,10,7,11,7,9,10,9,11,4,3,5,1,0,0,1,0,0
2014,"7","fixed-OR-WA",0,1,NA,0,0,0,1,0,0,3,5,3,0,4,9,8,5,8,4,6,12,8,9,4,15,6,2,4,4,1,0,0,0,0,0,0
2015,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,3,6,4,4,5,12,7,5,8,18,8,9,8,8,19,16,10,10,9,10,1,1,1,0,1,2,1
2016,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,0,0,3,7,3,2,4,7,5,5,7,9,7,2,6,12,6,11,4,6,7,1,0,1,0,0,1
2017,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,1,3,3,10,16,15,22,19,16,20,21,24,30,34,29,25,20,22,13,15,7,7,5,7,2,1,0,0
2018,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,3,7,9,7,16,20,29,19,20,25,26,22,35,17,17,14,18,10,7,3,0,8,1,0,1,2,0
2019,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,1,6,11,11,12,19,25,30,23,29,33,31,48,43,34,37,27,29,15,12,14,5,4,5,0,0,0
2020,"7","fixed-OR-WA",0,1,NA,0,0,1,0,0,0,3,4,6,4,12,11,20,17,5,13,26,17,16,14,14,20,12,6,11,6,1,5,1,1,0,0,0
2021,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,4,2,4,3,3,7,20,25,19,26,27,30,20,24,24,18,26,19,7,9,4,6,1,1,0,0,0
2022,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,1,2,4,5,9,13,15,28,38,35,35,47,69,37,26,38,28,23,23,15,9,5,1,0,1,0,1
2023,"7","fixed-OR-WA",0,1,NA,0,0,0,0,0,0,0,1,5,5,8,9,16,21,22,50,63,83,84,70,41,33,37,32,24,20,7,6,5,1,0,0,1
2005,"7","trawl-CA",0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,"7","trawl-CA",0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"7","trawl-CA",0,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7","trawl-CA",0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,"7","trawl-CA",0,1,NA,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"7","trawl-CA",0,1,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
2021,"7","trawl-CA",0,1,NA,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"7","trawl-CA",0,1,NA,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"7","trawl-WA-OR",0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","trawl-WA-OR",0,1,NA,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,2,1,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0
2005,"7","trawl-WA-OR",0,1,NA,3,1,1,1,1,0,1,0,0,1,0,3,2,1,0,1,4,2,3,3,3,2,1,1,0,0,1,2,1,1,1,1,1
2006,"7","trawl-WA-OR",0,1,NA,0,0,0,0,0,1,2,0,0,2,1,2,2,0,0,3,0,1,5,3,3,2,5,2,1,2,4,2,1,0,1,0,0
2007,"7","trawl-WA-OR",0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"7","trawl-WA-OR",0,1,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
2009,"7","trawl-WA-OR",0,1,NA,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,"7","trawl-WA-OR",0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2011,"7","trawl-WA-OR",0,1,NA,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"7","trawl-WA-OR",0,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"7","trawl-WA-OR",0,1,NA,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"7","trawl-WA-OR",0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"7","trawl-WA-OR",0,1,NA,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"7","trawl-WA-OR",0,1,NA,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"7","trawl-WA-OR",0,1,NA,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"7","trawl-WA-OR",0,1,NA,0,1,1,0,0,4,6,2,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"7","trawl-WA-OR",0,1,NA,0,0,0,0,0,2,1,2,3,4,5,2,3,1,3,2,1,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,"7","trawl-WA-OR",0,1,NA,0,0,1,0,0,0,0,2,2,1,5,3,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2022,"7","trawl-WA-OR",0,1,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,"7","trawl-WA-OR",0,1,NA,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
