"year","month","fleet_nb","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
2015,7,2,0,0,4.518,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0
2015,7,4,0,0,17.622,0,0,0,0,0,0,0,2,2,1,0,2,0,4,3,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,7,5,0,0,81.256,0,0,0,0,0,0,3,6,4,4,5,12,7,5,8,19,11,10,12,9,21,16,12,12,12,11,2,3,2,1,2,2,1
2016,7,2,0,0,8.864,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,7,2,3,2,2,1,1,0,0,0,0,0,0,0,0
2016,7,4,0,0,16.312,0,1,1,2,0,0,1,1,3,3,1,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,5,0,0,68.008,0,0,0,0,0,0,0,0,3,7,3,2,4,7,5,5,7,9,7,2,6,12,6,11,4,6,7,1,0,1,0,0,1
2017,7,1,0,0,2.414,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,2,0,0,28.558,0,0,0,0,0,0,0,1,5,4,3,2,8,3,8,6,8,5,6,5,10,8,5,3,1,0,0,0,0,0,0,0,0
2017,7,4,0,0,43.006,0,0,0,1,0,0,0,2,3,8,8,7,9,12,7,6,5,3,2,2,2,2,1,1,4,1,0,1,0,0,0,0,0
2017,7,5,0,0,139.58,0,0,0,0,0,1,3,3,10,16,15,22,19,16,20,22,26,34,40,32,25,22,23,14,16,7,7,6,8,2,1,0,0
2018,7,2,0,0,25.21,0,0,0,0,0,0,0,0,0,1,2,1,1,4,1,2,6,3,3,7,3,3,2,3,1,0,1,0,1,0,0,0,0
