"year","fleet","catch_shares","n_obs","n_hauls","n_trips","n_vessels","observed_discard_mt","observed_retained_mt","discard_rate"
2016,"trawl-OR","FALSE",25580,2467,157,54,0.000521636578064048,0.0408237321963168,0.0126165660998354
2016,"trawl-OR","TRUE",170796,5468,694,41,0.000521636578064048,0.0408237321963168,0.0126165660998354
2017,"fixed-OR","FALSE",6679,603,274,84,0,0.00181438809761408,0
2017,"fixed-OR","TRUE",3626,567,50,7,0,0.00181438809761408,0
2017,"fixed-WA","FALSE",6956,450,55,23,0,0.0153834867111815,0
2017,"fixed-WA","TRUE",2494,226,13,5,0,0.0153834867111815,0
2017,"trawl-CA","FALSE",22723,1160,237,32,0,0.00090719404880704,0
2017,"trawl-CA","TRUE",27813,1108,190,19,0,0.00090719404880704,0
2017,"trawl-OR","FALSE",19403,1623,113,45,0.00596480087090629,0.1288215549306,0.044253743900387
2017,"trawl-OR","TRUE",171422,5627,885,44,0.00596480087090629,0.1288215549306,0.044253743900387
2018,"trawl-OR","FALSE",24218,2284,129,53,0.010568810668602,0.101047882949439,0.0946884406446329
2018,"trawl-OR","TRUE",141252,4834,812,43,0.010568810668602,0.101047882949439,0.0946884406446329
2018,"trawl-WA","FALSE",7559,720,45,14,0,0.00589676131724576,0
2018,"trawl-WA","TRUE",8759,308,44,9,0,0.00589676131724576,0
2019,"trawl-CA","FALSE",16128,966,214,29,0.00188242765127461,0.020684457567129,0.0834154839294996
2019,"trawl-CA","TRUE",32356,1213,193,15,0.00188242765127461,0.020684457567129,0.0834154839294996
2019,"trawl-OR","FALSE",25884,2481,144,57,0.0218180168738093,0.262850880331037,0.0766434868299264
2019,"trawl-OR","TRUE",134397,4370,732,40,0.0218180168738093,0.262850880331037,0.0766434868299264
2020,"trawl-CA","FALSE",10798,499,96,17,0.000771114941485984,0.035303773927243,0.0213753934015418
2020,"trawl-CA","TRUE",21692,829,148,13,0.000771114941485984,0.035303773927243,0.0213753934015418
2020,"trawl-OR","FALSE",4814,510,39,21,0.0455093894584052,0.213083735516258,0.175988396686355
2020,"trawl-OR","TRUE",101518,3018,476,35,0.0455093894584052,0.213083735516258,0.175988396686355
2021,"trawl-CA","FALSE",5281,331,95,16,0.00571532250748435,0.0852762405878617,0.0628115653040877
2021,"trawl-CA","TRUE",29647,1118,211,15,0.00571532250748435,0.0852762405878617,0.0628115653040877
2021,"trawl-OR","FALSE",5607,597,54,25,0.0229520094348181,0.212828755592371,0.0973447067752596
2021,"trawl-OR","TRUE",100486,2974,488,30,0.0229520094348181,0.212828755592371,0.0973447067752596
2021,"trawl-WA","FALSE",3186,294,21,8,0.0138800689467477,0.00652058030032107,0.680373883137177
2021,"trawl-WA","TRUE",5772,154,19,3,0.0138800689467477,0.00652058030032107,0.680373883137177
2022,"trawl-CA","FALSE",6544,434,111,17,0.00244942393177901,0.0709341377120566,0.0333783735336695
2022,"trawl-CA","TRUE",34278,1295,234,18,0.00244942393177901,0.0709341377120566,0.0333783735336695
2022,"trawl-OR","FALSE",11542,1129,93,38,0.010432731561281,0.665923956511886,0.0154248959835115
2022,"trawl-OR","TRUE",108988,2983,484,34,0.010432731561281,0.665923956511886,0.0154248959835115
2023,"trawl-CA","FALSE",8328,525,139,16,0,0.0176579793740076,0
2023,"trawl-CA","TRUE",35861,1328,225,16,0,0.0176579793740076,0
2023,"trawl-OR","FALSE",11339,1181,97,35,0.0308445976594394,0.2221857146338,0.121900800658592
2023,"trawl-OR","TRUE",109967,2920,437,29,0.0308445976594394,0.2221857146338,0.121900800658592
