"year","fleet","n_obs","n_hauls","n_trips","n_vessels","n_boot","obs_discard","obs_retained","obs_ratio","median_discard","sd_discard","median_ratio","sd_ratio"
2012,"fixed-WA",7,7,5,3,10000,0.0259230699446612,0.00351537693912728,0.880585516178736,0.0259230699446612,0.0051307368236653,0.880585516178736,0.10199958215658
2013,"fixed-CA",16,16,13,7,10000,0.0914451601197496,0,1,0.0894493332123741,0.0454587790381466,1,0
2013,"fixed-OR",53,53,48,21,10000,0.337435362424023,0,1,0.33171096797605,0.0756719337652333,1,0
2013,"fixed-WA",4,4,4,3,10000,0.060822825002268,0,1,0.060822825002268,0.0037764705398866,1,0
2014,"fixed-OR",28,28,28,13,10000,0.110042638120294,0,1,0.108092170915359,0.0377290988694569,1,0
2014,"fixed-WA",25,25,11,5,10000,0.131760863648734,0,1,0.131760863648734,0.0183778688933913,1,0
2015,"fixed-CA",6,6,3,3,10000,0.0456318606549941,0,1,0.0456318606549941,0,1,0
2015,"fixed-OR",57,56,45,23,10000,0.514043363875533,0,1,0.5020910822825,0.151702083733212,1,0
2015,"fixed-WA",6,6,6,5,10000,0.0243717681212011,0,1,0.0243717681212011,0.00355054408580031,1,0
2016,"fixed-CA",9,8,6,6,10000,0.0586954549578155,0.00090719404880704,0.984779299847793,0.0586954549578155,0.0308887630638457,0.984779299847793,0.019513807832911
2016,"fixed-OR",48,48,45,23,10000,0.163567086999909,0,1,0.16234237503402,0.034432329111807,1,0
2016,"fixed-WA",14,14,9,5,10000,0.156454685657262,0,1,0.156454685657262,0.0229112512812185,1,0
2017,"fixed-CA",23,23,16,10,10000,0.171677401796244,0,1,0.171541322688923,0.060143276490424,1,0
2017,"fixed-OR",78,77,66,31,10000,0.708563911820739,0,1,0.69947155946657,0.161331831526841,1,0
2017,"fixed-WA",22,22,11,6,10000,0.206341286401161,0,1,0.203560736641568,0.0981872978935845,1,0
2018,"fixed-CA",20,20,19,12,10000,0.0928377029846684,0,1,0.0928377029846684,0.0132209075386027,1,0
2018,"fixed-OR",64,64,54,29,10000,0.476739544588588,0,1,0.469565907647646,0.126441849887255,1,0
2018,"fixed-WA",42,41,23,11,10000,0.264701079560918,0.00392361426109045,0.985393694804208,0.26029665245396,0.0817567382713279,0.986397659810575,0.0142258399319315
2018,"trawl-OR",3,3,3,3,10000,0.00055792434001633,0,1,0.00055792434001633,0.000265188661726975,1,0
2019,"fixed-CA",34,33,22,14,10000,0.35284405334301,0,1,0.34559330490792,0.100964270691218,1,0
2019,"fixed-OR",82,80,69,32,10000,0.427070670416402,0.00127043454594938,0.997034058764776,0.419445704436179,0.0993297284254818,0.997163649289288,0.00234254525476149
2019,"fixed-WA",78,75,23,9,10000,1.2801505942121,0.00771114941485984,0.994012440036348,1.25441349904745,0.741067988794548,0.994162709299431,0.00828964774302187
2020,"fixed-CA",14,14,14,10,10000,0.0567177719314161,0,1,0.0568402431280051,0.0104056151656936,1,0
2020,"fixed-OR",63,63,59,23,10000,0.480150594212102,0,1,0.470296198856936,0.117086985881362,1,0
2021,"fixed-CA",37,35,26,15,10000,0.443382019413953,0,1,0.443268620157852,0.173259384900299,1,0
2021,"fixed-OR",68,67,56,24,10000,0.642411321781729,0,1,0.632507030753878,0.168139930273474,1,0
2021,"fixed-WA",34,34,11,4,10000,0.46542229882972,0,1,0.46542229882972,0.357338684696052,1,0
2022,"fixed-CA",62,62,48,14,10000,0.587154132268892,0,1,0.563725845958451,0.248495800154816,1,0
2022,"fixed-OR",61,60,52,28,10000,0.830790166016511,0,1,0.817282046629774,0.262915232941763,1,0
2022,"fixed-WA",60,54,9,4,10000,0.61419758686383,0.0190510750249478,0.96991533315187,0.61419758686383,0.418211211839686,0.96991533315187,0.0775477512916688
2023,"fixed-CA",20,19,16,9,10000,0.290188696362152,0,1,0.290188696362152,0.0724229642425672,1,0
2023,"fixed-OR",116,115,61,23,10000,0.880894493332124,0.00181438809761408,0.997944522666776,0.85745259911095,0.376085465467831,0.997981602304959,0.00293230433180521
2023,"fixed-WA",73,69,11,3,10000,0.956858387008981,0.00140666043522889,0.99853207581871,0.956858387008981,0.347928795424042,0.99853207581871,0.000780893049188121
